,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_size,job_category
0,2020,Entry-level,Part-time,ML Engineer,15966,Germany,Remote,Small,Machine Learning and AI
1,2020,Executive,Full-time,Staff Data Analyst,15000,Nigeria,In-person,Medium,Data Analysis
2,2020,Entry-level,Part-time,Data Scientist,21669,Italy,Hybrid,Small,Data Science and Research
3,2020,Entry-level,Full-time,Data Analyst,22809,Portugal,Remote,Medium,Data Analysis
4,2020,Mid-level,Full-time,Product Data Analyst,20000,Honduras,In-person,Small,Data Analysis
5,2020,Mid-level,Full-time,Data Scientist,38776,Spain,Remote,Medium,Data Science and Research
6,2020,Entry-level,Full-time,Data Scientist,39916,France,In-person,Medium,Data Science and Research
7,2020,Mid-level,Full-time,Data Scientist,42197,France,Hybrid,Small,Data Science and Research
8,2020,Senior,Full-time,Machine Learning Engineer,45618,Croatia,Remote,Small,Machine Learning and AI
9,2020,Mid-level,Full-time,Data Analyst,46759,France,Hybrid,Large,Data Analysis
10,2020,Entry-level,Full-time,Data Analyst,47899,Germany,In-person,Large,Data Analysis
11,2020,Entry-level,Full-time,Research Scientist,42000,Netherlands,Hybrid,Large,Data Science and Research
12,2020,Senior,Full-time,Data Engineer,47899,Greece,Hybrid,Large,Data Engineering
13,2020,Entry-level,Full-time,Data Scientist,49268,Germany,In-person,Small,Data Science and Research
14,2020,Mid-level,Full-time,Machine Learning Infrastructure Engineer,50180,Portugal,In-person,Medium,Machine Learning and AI
15,2020,Entry-level,Full-time,Data Scientist,51321,France,In-person,Small,Data Science and Research
16,2020,Mid-level,Full-time,Data Scientist,45760,Philippines,Remote,Small,Data Science and Research
17,2020,Entry-level,Full-time,Data Engineer,54742,Pakistan,Remote,Large,Data Engineering
18,2020,Mid-level,Full-time,Data Engineer,59303,Germany,Remote,Small,Data Engineering
19,2020,Entry-level,Full-time,Data Scientist,62726,Germany,Hybrid,Small,Data Science and Research
20,2020,Mid-level,Full-time,Data Scientist,62726,France,Hybrid,Small,Data Science and Research
21,2020,Mid-level,Full-time,Lead Data Engineer,56000,Portugal,Remote,Medium,Data Engineering
22,2020,Entry-level,Contract,Staff Data Analyst,44753,Canada,Hybrid,Large,Data Analysis
23,2020,Mid-level,Contract,Sales Data Analyst,60000,Nigeria,In-person,Medium,Data Analysis
24,2020,Senior,Full-time,Data Scientist,68428,Greece,Remote,Large,Data Science and Research
25,2020,Mid-level,Full-time,Data Scientist,76958,United Kingdom,Remote,Small,Data Science and Research
26,2020,Senior,Freelance,Computer Vision Engineer,60000,Russian Federation,Remote,Small,Machine Learning and AI
27,2020,Mid-level,Full-time,Data Engineer,70139,France,Hybrid,Large,Data Engineering
28,2020,Mid-level,Full-time,Data Engineer,74130,Austria,Hybrid,Large,Data Engineering
29,2020,Entry-level,Full-time,Big Data Engineer,70000,United States,Remote,Large,Data Engineering
30,2020,Executive,Full-time,Data Engineer,79833,Spain,Hybrid,Large,Data Engineering
31,2020,Mid-level,Full-time,Data Scientist,79833,Germany,In-person,Large,Data Science and Research
32,2020,Entry-level,Full-time,Data Analyst,72000,United States,Remote,Large,Data Analysis
33,2020,Senior,Full-time,Data Scientist,91237,Austria,In-person,Small,Data Science and Research
34,2020,Senior,Full-time,Big Data Engineer,109024,United Kingdom,Hybrid,Medium,Data Engineering
35,2020,Mid-level,Full-time,Data Analyst,85000,United States,Remote,Large,Data Analysis
36,2020,Mid-level,Full-time,Lead Data Analyst,87000,United States,Remote,Large,Data Analysis
37,2020,Mid-level,Full-time,Data Engineer,112872,United Kingdom,Hybrid,Large,Data Engineering
38,2020,Entry-level,Full-time,Data Analyst,91000,United States,Remote,Large,Data Analysis
39,2020,Mid-level,Full-time,Business Data Analyst,95000,United States,In-person,Medium,Data Analysis
40,2020,Mid-level,Full-time,BI Data Analyst,98000,United States,In-person,Medium,Data Analysis
41,2020,Entry-level,Full-time,Azure Data Engineer,100000,Mauritius,In-person,Small,Data Engineering
42,2020,Senior,Full-time,Big Data Engineer,114047,Poland,Remote,Small,Data Engineering
43,2020,Entry-level,Contract,Business Data Analyst,100000,United States,Remote,Large,Data Analysis
44,2020,Mid-level,Full-time,Data Science Consultant,103000,United States,Remote,Large,Data Science and Research
45,2020,Mid-level,Full-time,Data Scientist,105000,United States,Remote,Large,Data Science and Research
46,2020,Entry-level,Full-time,Data Scientist,105000,United States,Remote,Small,Data Science and Research
47,2020,Mid-level,Full-time,Data Engineer,106000,United States,Remote,Large,Data Engineering
48,2020,Mid-level,Full-time,Data Engineer,110000,United States,Remote,Large,Data Engineering
49,2020,Mid-level,Full-time,Lead Data Scientist,115000,United Arab Emirates,In-person,Large,Data Science and Research
50,2020,Mid-level,Full-time,Data Scientist,118000,United States,Remote,Medium,Data Science and Research
51,2020,Senior,Full-time,Data Scientist,120000,United States,Hybrid,Large,Data Science and Research
52,2020,Senior,Full-time,Lead Data Engineer,125000,New Zealand,Hybrid,Small,Data Engineering
53,2020,Senior,Full-time,Principal Data Scientist,148261,Germany,Remote,Medium,Data Science and Research
54,2020,Mid-level,Full-time,Data Engineer,130800,Spain,Remote,Medium,Data Engineering
55,2020,Mid-level,Full-time,Business Data Analyst,135000,United States,Remote,Large,Data Analysis
56,2020,Entry-level,Full-time,Machine Learning Engineer,138000,United States,Remote,Small,Machine Learning and AI
57,2020,Mid-level,Full-time,Data Scientist,138350,United States,Remote,Medium,Data Science and Research
58,2020,Senior,Full-time,Machine Learning Engineer,150000,United States,Hybrid,Large,Machine Learning and AI
59,2020,Senior,Full-time,Machine Learning Manager,117104,Canada,Hybrid,Large,Machine Learning and AI
60,2020,Senior,Full-time,Staff Data Scientist,164000,United States,Hybrid,Medium,Data Science and Research
61,2020,Senior,Full-time,Data Engineer,188000,United States,Remote,Large,Data Engineering
62,2020,Senior,Full-time,Lead Data Scientist,190000,United States,Remote,Small,Data Science and Research
63,2020,Senior,Full-time,Data Science Manager,190200,United States,Remote,Medium,Data Science and Research
64,2020,Entry-level,Full-time,Machine Learning Engineer,250000,United States,Hybrid,Large,Machine Learning and AI
65,2020,Senior,Full-time,Machine Learning Scientist,260000,Japan,In-person,Small,Machine Learning and AI
66,2020,Executive,Full-time,Managing Director Data Science,300000,United States,Remote,Large,Data Science and Research
67,2020,Entry-level,Full-time,AI Scientist,45896,Denmark,Hybrid,Small,Machine Learning and AI
68,2020,Executive,Full-time,Director of Data Science,325000,United States,Remote,Large,Data Science and Research
69,2020,Senior,Full-time,Data Scientist,412000,United States,Remote,Large,Data Science and Research
70,2020,Mid-level,Full-time,Research Scientist,450000,United States,In-person,Medium,Data Science and Research
71,2021,Entry-level,Full-time,Machine Learning Developer,15000,Thailand,Remote,Large,Machine Learning and AI
72,2021,Mid-level,Full-time,Big Data Engineer,18000,"Moldova, Republic of",In-person,Small,Data Engineering
73,2021,Entry-level,Full-time,Machine Learning Research Engineer,20000,France,Hybrid,Medium,Data Science and Research
74,2021,Entry-level,Full-time,Machine Learning Engineer,20000,India,Remote,Small,Machine Learning and AI
75,2021,Mid-level,Freelance,Data Engineer,20000,Italy,In-person,Large,Data Engineering
76,2021,Entry-level,Full-time,Machine Learning Engineer,24823,Germany,Hybrid,Medium,Machine Learning and AI
77,2021,Mid-level,Full-time,Machine Learning Engineer,24823,Slovenia,Hybrid,Large,Machine Learning and AI
78,2021,Mid-level,Full-time,Data Scientist,25532,Serbia,Remote,Small,Data Science and Research
79,2021,Entry-level,Full-time,Machine Learning Engineer,21844,Colombia,Hybrid,Medium,Machine Learning and AI
80,2021,Mid-level,Full-time,Data Engineer,26005,Romania,In-person,Large,Data Engineering
81,2021,Senior,Full-time,Computer Vision Engineer,24000,Brazil,Remote,Medium,Machine Learning and AI
82,2021,Mid-level,Full-time,Data Engineer,28369,Malta,Hybrid,Large,Data Engineering
83,2021,Mid-level,Full-time,AI Scientist,30000,Ghana,In-person,Small,Machine Learning and AI
84,2021,Entry-level,Full-time,Data Scientist,36643,France,Hybrid,Large,Data Science and Research
85,2021,Mid-level,Full-time,Data Scientist,37825,Spain,Remote,Large,Data Science and Research
86,2021,Entry-level,Full-time,Data Engineer,45390,United Kingdom,Hybrid,Large,Data Engineering
87,2021,Mid-level,Full-time,Data Science Engineer,40189,Greece,Remote,Medium,Data Science and Research
88,2021,Mid-level,Full-time,Data Analyst,51519,United Kingdom,Hybrid,Large,Data Analysis
89,2021,Mid-level,Full-time,Applied Machine Learning Scientist,38400,Viet Nam,Remote,Medium,Machine Learning and AI
90,2021,Mid-level,Full-time,Data Engineer,45391,Netherlands,Remote,Large,Data Engineering
91,2021,Mid-level,Full-time,Data Scientist,46809,Spain,Remote,Medium,Data Science and Research
92,2021,Mid-level,Full-time,Machine Learning Engineer,47282,Spain,Remote,Small,Machine Learning and AI
93,2021,Mid-level,Full-time,Data Scientist,56256,United Kingdom,Hybrid,Large,Data Science and Research
94,2021,Entry-level,Full-time,Data Scientist,49646,France,Hybrid,Medium,Data Science and Research
95,2021,Mid-level,Full-time,Machine Learning Engineer,51064,Italy,Hybrid,Large,Machine Learning and AI
96,2021,Senior,Full-time,Data Scientist,53192,France,Hybrid,Large,Data Science and Research
97,2021,Senior,Full-time,Finance Data Analyst,61896,United Kingdom,Hybrid,Large,Data Analysis
98,2021,Mid-level,Freelance,Autonomous Vehicle Technician,45555,American Samoa,Hybrid,Medium,Machine Learning and AI
99,2021,Mid-level,Full-time,Data Engineer,66022,Hong Kong,Hybrid,Small,Data Engineering
100,2021,Mid-level,Full-time,Research Scientist,56738,France,Hybrid,Small,Data Science and Research
101,2021,Senior,Full-time,Data Analyst,50000,Philippines,Remote,Small,Data Analysis
102,2021,Entry-level,Full-time,Data Analyst,50000,United States,Remote,Medium,Data Analysis
103,2021,Mid-level,Full-time,Data Scientist,50000,Nigeria,Remote,Large,Data Science and Research
104,2021,Entry-level,Full-time,Data Analyst,59102,France,Hybrid,Medium,Data Analysis
105,2021,Senior,Full-time,Data Analytics Engineer,50000,Viet Nam,Remote,Medium,Leadership and Management
106,2021,Senior,Full-time,Research Scientist,50000,France,Remote,Small,Data Science and Research
107,2021,Entry-level,Full-time,Business Data Analyst,59102,Luxembourg,Remote,Large,Data Analysis
108,2021,Senior,Full-time,Research Scientist,60757,Portugal,Hybrid,Large,Data Science and Research
109,2021,Mid-level,Full-time,Data Scientist,61467,Germany,Hybrid,Medium,Data Science and Research
